gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 7 200 data/g7.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 10 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 0 eps 1 tFac 0 bestEval 564.505 STV 111.183 
gen 1 eps 1 tFac 0 bestEval 564.505 STV 111.183 
gen 2 eps 1 tFac 0 bestEval 1769.17 STV 37.2144 
gen 3 eps 1 tFac 0 bestEval 1769.17 STV 37.2144 
gen 4 eps 1 tFac 0 bestEval 1769.17 STV 37.2144 
gen 5 eps 1 tFac 0 bestEval 3024.09 STV 15.4285 
gen 6 eps 1 tFac 0 bestEval 1130.44 STV 5.42921 
gen 7 eps 1 tFac 0 bestEval 1130.44 STV 5.42921 
gen 8 eps 1 tFac 0 bestEval 3581.76 STV 4.87434 
gen 9 eps 1 tFac 0 bestEval 3581.76 STV 4.87434 
gen 10 eps 1 tFac 0 bestEval 3581.76 STV 4.87434 
gen 11 eps 1 tFac 0 bestEval 3581.76 STV 4.87434 
gen 12 eps 1 tFac 3 bestEval 205.184 STV 0 
gen 13 eps 1 tFac 3 bestEval 205.184 STV 0 
gen 14 eps 1 tFac 7 bestEval 205.184 STV 0 
gen 15 eps 1 tFac 11 bestEval 205.184 STV 0 
gen 16 eps 1 tFac 16 bestEval 205.184 STV 0 
gen 17 eps 0.9 tFac 22 bestEval 205.184 STV 0 
gen 18 eps 0.81 tFac 30 bestEval 205.184 STV 0 
gen 19 eps 0.729 tFac 34 bestEval 205.184 STV 0 
gen 20 eps 0.6561 tFac 41 bestEval 174.424 STV 0 
gen 21 eps 0.59049 tFac 51 bestEval 174.424 STV 0 
gen 22 eps 0.531441 tFac 60 bestEval 174.424 STV 0 
gen 23 eps 0.478297 tFac 73 bestEval 171.752 STV 0 
gen 24 eps 0.430467 tFac 85 bestEval 139.312 STV 0 
gen 25 eps 0.38742 tFac 92 bestEval 139.312 STV 0 
gen 26 eps 0.348678 tFac 105 bestEval 139.312 STV 0 
gen 27 eps 0.313811 tFac 119 bestEval 125.162 STV 0 
gen 28 eps 0.28243 tFac 126 bestEval 125.162 STV 0 
gen 29 eps 0.254187 tFac 133 bestEval 125.162 STV 0 
gen 30 eps 0.228768 tFac 143 bestEval 125.162 STV 0 
gen 31 eps 0.205891 tFac 152 bestEval 125.162 STV 0 
gen 32 eps 0.185302 tFac 156 bestEval 114.735 STV 0 
gen 33 eps 0.166772 tFac 163 bestEval 114.735 STV 0 
gen 34 eps 0.150095 tFac 169 bestEval 114.735 STV 0 
gen 35 eps 0.135085 tFac 174 bestEval 114.735 STV 0 
gen 36 eps 0.121577 tFac 177 bestEval 93.3336 STV 0 
gen 37 eps 0.109419 tFac 178 bestEval 93.3336 STV 0 
gen 38 eps 0.0984771 tFac 179 bestEval 93.3336 STV 0 
gen 39 eps 0.0886294 tFac 179 bestEval 93.3336 STV 0 
gen 40 eps 0.0797664 tFac 180 bestEval 93.3336 STV 0 
gen 41 eps 0.0717898 tFac 181 bestEval 93.3336 STV 0 
gen 42 eps 0.0646108 tFac 185 bestEval 93.3336 STV 0 
gen 43 eps 0.0581497 tFac 188 bestEval 93.3336 STV 0 
gen 44 eps 0.0523348 tFac 190 bestEval 93.3336 STV 0 
gen 45 eps 0.0471013 tFac 190 bestEval 93.3336 STV 0 
gen 46 eps 0.0423912 tFac 192 bestEval 93.3336 STV 0 
gen 47 eps 0.038152 tFac 193 bestEval 93.3336 STV 0 
gen 48 eps 0.0343368 tFac 194 bestEval 91.4929 STV 0 
gen 49 eps 0.0309032 tFac 197 bestEval 91.4929 STV 0 
gen 50 eps 0.0278128 tFac 197 bestEval 91.4929 STV 0 
gen 51 eps 0.0250316 tFac 198 bestEval 91.4929 STV 0 
gen 52 eps 0.0225284 tFac 198 bestEval 91.4929 STV 0 
gen 53 eps 0.0202756 tFac 198 bestEval 91.4929 STV 0 
gen 54 eps 0.018248 tFac 198 bestEval 90.9176 STV 0 
gen 55 eps 0.0164232 tFac 199 bestEval 90.9176 STV 0 
gen 56 eps 0.0147809 tFac 200 bestEval 86.4727 STV 0 
gen 57 eps 0.0133028 tFac 200 bestEval 86.4727 STV 0 
gen 58 eps 0.0119725 tFac 200 bestEval 86.4727 STV 0 
gen 59 eps 0.0107753 tFac 200 bestEval 86.4727 STV 0 
gen 60 eps 0.00969774 tFac 200 bestEval 82.5087 STV 0 
gen 61 eps 0.00872796 tFac 200 bestEval 82.5087 STV 0 
gen 62 eps 0.00785517 tFac 200 bestEval 82.5087 STV 0 
gen 63 eps 0.00706965 tFac 200 bestEval 82.5087 STV 0 
gen 64 eps 0.00636269 tFac 200 bestEval 80.1641 STV 0 
gen 65 eps 0.00572642 tFac 200 bestEval 80.1641 STV 0 
gen 66 eps 0.00515378 tFac 200 bestEval 78.7479 STV 0 
gen 67 eps 0.0046384 tFac 200 bestEval 78.7479 STV 0 
gen 68 eps 0.00417456 tFac 200 bestEval 78.7479 STV 0 
gen 69 eps 0.0037571 tFac 200 bestEval 78.7479 STV 0 
gen 70 eps 0.00338139 tFac 200 bestEval 67.6916 STV 0 
gen 71 eps 0.00304325 tFac 200 bestEval 67.6916 STV 0 
gen 72 eps 0.00273893 tFac 200 bestEval 67.6916 STV 0 
gen 73 eps 0.00246503 tFac 200 bestEval 67.6916 STV 0 
gen 74 eps 0.00221853 tFac 200 bestEval 67.6916 STV 0 
gen 75 eps 0.00199668 tFac 200 bestEval 67.6916 STV 0 
gen 76 eps 0.00179701 tFac 200 bestEval 67.6916 STV 0 
gen 77 eps 0.00161731 tFac 200 bestEval 67.6916 STV 0 
gen 78 eps 0.00145558 tFac 200 bestEval 67.6916 STV 0 
gen 79 eps 0.00131002 tFac 200 bestEval 67.6916 STV 0 
gen 80 eps 0.00117902 tFac 200 bestEval 67.6916 STV 0 
gen 81 eps 0.00106112 tFac 200 bestEval 67.6916 STV 0 
gen 82 eps 0.000955005 tFac 200 bestEval 67.6916 STV 0 
gen 83 eps 0.000859504 tFac 200 bestEval 67.6916 STV 0 
gen 84 eps 0.000773554 tFac 200 bestEval 67.6916 STV 0 
gen 85 eps 0.000696199 tFac 200 bestEval 67.6916 STV 0 
gen 86 eps 0.000626579 tFac 200 bestEval 67.6916 STV 0 
gen 87 eps 0.000563921 tFac 200 bestEval 67.6916 STV 0 
gen 88 eps 0.000507529 tFac 200 bestEval 67.6916 STV 0 
gen 89 eps 0.000456776 tFac 200 bestEval 67.6916 STV 0 
gen 90 eps 0.000411098 tFac 200 bestEval 67.6916 STV 0 
gen 91 eps 0.000369988 tFac 200 bestEval 67.6916 STV 0 
gen 92 eps 0.00033299 tFac 200 bestEval 67.6916 STV 0 
gen 93 eps 0.000299691 tFac 200 bestEval 67.6916 STV 0 
gen 94 eps 0.000269722 tFac 200 bestEval 67.6916 STV 0 
gen 95 eps 0.000242749 tFac 200 bestEval 67.6916 STV 0 
gen 96 eps 0.000218475 tFac 200 bestEval 67.6916 STV 0 
gen 97 eps 0.000196627 tFac 200 bestEval 67.6916 STV 0 
gen 98 eps 0.000176964 tFac 200 bestEval 66.3604 STV 0 
gen 99 eps 0.000159268 tFac 200 bestEval 64.0153 STV 0 
gen 100 eps 0.000143341 tFac 200 bestEval 64.0153 STV 0 
gen 101 eps 0.000129007 tFac 200 bestEval 64.0153 STV 0 
gen 102 eps 0.000116106 tFac 200 bestEval 64.0153 STV 0 
gen 103 eps 0.000104496 tFac 200 bestEval 64.0153 STV 0 
gen 104 eps 9.40461e-05 tFac 200 bestEval 64.0153 STV 0 
gen 105 eps 8.46415e-05 tFac 200 bestEval 64.0153 STV 0 
gen 106 eps 7.61773e-05 tFac 200 bestEval 64.0153 STV 0 
gen 107 eps 6.85596e-05 tFac 200 bestEval 64.0153 STV 0 
gen 108 eps 6.17037e-05 tFac 200 bestEval 64.0153 STV 0 
gen 109 eps 5.55333e-05 tFac 200 bestEval 64.0153 STV 0 
gen 110 eps 4.998e-05 tFac 200 bestEval 64.0153 STV 0 
gen 111 eps 4.4982e-05 tFac 200 bestEval 64.0153 STV 0 
gen 112 eps 4.04838e-05 tFac 200 bestEval 64.0153 STV 0 
gen 113 eps 3.64354e-05 tFac 200 bestEval 64.0153 STV 0 
gen 114 eps 3.27919e-05 tFac 200 bestEval 64.0153 STV 0 
gen 115 eps 2.95127e-05 tFac 200 bestEval 64.0153 STV 0 
gen 116 eps 2.65614e-05 tFac 200 bestEval 64.0153 STV 0 
gen 117 eps 2.39053e-05 tFac 200 bestEval 64.0153 STV 0 
